Sentiment,Label,CleanedReview
Negative,0,rude managerth manag becam agress when i said the carbonara wa not good she wa rude it wa a veri bad experi the worst in rome in mani year
Negative,0,a big disappointmenti order a beef fillet ask to be done medium i got it well done cook and veri dri when i told them they took the steak and after 20 minut they brought me anoth steak that wa complet rare i left all the steak and they ask me about it but charg me the fool price
Negative,0,pretti place with bland foodthi is an attract venu with welcom albeit but somewhat slow servic the offer are pleasingli present but most everyth ha no tast it wa a though ingredi were just assembl without season a love restaur except for the food
Negative,0,great servic and wine but ined foodsadli i use the high tripadvisor rate too liter we have been fortun to eat at a number of fine restaur so know that amaz buzz from a mouth of fine freshli cook food from a great chef never befor have we eaten a tast menu and never will we again ad hoc ha a great ambienc with attent friendli servic and all the pair wine were except mayb we hit a night when the chef wa off but everi singl cours of food wa certainli not freshli cook and a we pass the kitchen on the way to the bathroom notic plate of precook food readi to go on the tast menu plate if it had been the odd dish that disappoint we would have accept that it might have just been our palat not like it a it wa everi plate of food wa not hot bland lack ani spark and had probabl been sit around for a while l all the serv staff were great a wa the wine but i fail to finish ani plate offer the tast menu look good valu but a simpl bowl of hot freshli cook pasta would have done better justic to the wine when ask i admit with that great english understat that i had been disappoint i found 17 euro had been deduct from the 190 euro bill so it wa nice that they notic probabl best to avoid the tast menu and enjoy their great wine select with some pasta and mayb chees cours i feel respons that i made a poor choic not realiz that thi is a place gear for tourist an expens mistak
Negative,0,avoid worst meal in rome possibl everfrom the start thi meal wa bad especi given the price we visit for my husband birthday after be recommend by our local hotel the ladi in charg appear at our tabl a we arriv to basic up sell the truffl menu plonk some truffl on the tabl and then with no explan of how they would enhanc the dish gave u a rehears speech which she proceed to repeat word for word at everi singl tabl if the food had been good we could have forgiven thi but it wasn t the best part were the bland bit a at least they were inoffens noth wa season and sauc were complet tasteless with strang and weird combin but the worst part of the meal wa my husband ined medallion of lamb dish thi wa made up of a tini amount of lamb gristl and fat wrap around some mushi stuff we couldn t identifi fillet of beef wa sort of well cook frankli hard to get wrong but serv with exactli the same sauc a the lamb some reconstitut mash in strang tube shape and tasteless wateri spinach we ask for wine recommend the wine were ok but we weren t told what they were they weren t explain to u i had to ask what mine wa and wa told it wa local and we weren t offer ani to tri with so much choic nearbi and so mani better and much cheaper option i d avoid
Negative,0,shock manag terribl servic by mum and daughter for tourist onli we visit thi restaur on saturday night and we had the most disappoint servic and food experi ever it wa my partner s bday celebr weekend the restaur is run by a blond manag and her daughter wich had the most terribl attitud they both made sure we will never be back there we were sit at the tabl near the window but the ac wa off and outsid about 35 degre halfway through our meal truffl tast menu with wine pair we ask to move anywher els becaus it wa too warm there the young waitress the daughter ask the manag her mum to move u but she repli a veri sharp no also a dog poop just in front of u on the pedestrian side but appar accord to the same waitress that wa noth that concern the restaur anyhow now not onli wa it crazi hot but with a nice poo view too so we could not move anywher even though the restaur wa empti for no reason ask to talk to her mum the manag she never touch the tabl or acknowledg u how can you deni to a coupl with 230 euro bill to move to anoth tabl when your restaur is empti final a gem of a waitress with curli hair approach the tabl and move u to anoth spot where we spent the rest of the even in confin becaus a i said one side of the restaur wa empti for the whole night i have been manag restaur for my whole life and i never gave such an aw servic and attitud to my guest the tempo of servic complet wrong food wa get to our tabl way earlier than wine the wine wa pour into the glass and set in the station for about 20 minut befor be serv subject to the bacteria and dust sinc everyon wa pass by food wa good but if you are use to first class and fine dine servic keep out from thi place
Negative,0,we tire the tast menu avoidw tire the tast menu with wine pair the food wa not interest not veri tasti and overal wast time and money i would not come back and i would not recommend it
Negative,0,huge disappointmentthi restaur s high rate is wholli unwarr we were look forward to ad hoc s truffl menu thi week with white truffl in season and left sore disappoint the food wa flavorless serv cold and overpr to boot it seem a if the dish had been made in advanc and reheat the truffl inferior in qualiti and tast we dine at other restaur in rome the same week that serv far more flavor truffl at a much lower price so recogn the differ the servic wa slow and disjoint the onli thing that check out were the wine pair which were fine do yourself a favor and look elsewher
Negative,0,expens mediocr food and servicew got the tast menu and wine pair frankli the food wasn t tasti and the wine wa bore the servic wa complet imperson and almost robot i would avoid thi place at all cost there are too mani realli good restaur in rome
Negative,0,all around awfulmi wife and i book well in advanc base on ta review we were seat a we arriv and the interior wa wonder we each order the pumpkin flower stuf with chees they arriv about 30 minut later stone cold and tast like hard potato chip stuf with a glob of chees we ate about 20 and told the waitress who never came back to check when she came to clear the plate that is wa aw she argu with u say well that is how we make it about anoth 30 minut pass and our second cours arriv again stone cold it wa a pasta dish that wa way under cook not just al dent we did not eat more than a few bite but sat there for about 20 minut until someon came by to clear the plate we told her that the food wa not edibl and ask for our waitress after sit for about 10 15 more minut we decid to get up an leav the waitress never appear until we start to walk out and then she said our main cours wa readi thi wa 2 hour after we arriv we paid for the first two cours even though a classi restaur would not have charg at all and walk out the waitress wa rude and the food aw and the servic even wors
Negative,0,a big disappoint due to poor servic and arrog attitudesrom a big disappoint not servic orient and arrog i had high expect for thi restaur but when we got there it turn out that they had put our parti of 6 at a veri larg tabl for 8 complet off on it own at the back of the restaur the tabl wa not conduc to good convers and veri awkward when we ask for anoth tabl our concern were dismiss when i wrote to the restaur afterward to complain about the situat i got a veri dismiss letter back from the owner essenti state other peopl love thi tabl i guess you didn t no apolog wa offer particularli given the price i would not recommend thi restaur to other base on the poor treatment we receiv particularli given the mani other wonder altern in rome if you do choos to go i would specifi where you would like to sit
Negative,0,perfectli organ absolut scam the place offer realli low qualiti overpr food wrap in a good environ with pretenti servic well place to creat the atmospher of a seriou and high end restaur pack with tourist should have given me a hint from the veri begin special in truffl allow you to have a segment peel of real truffl on your plate amongst mani mani fake one fillet 47 euro wa entrecôt and not a good one at that a well stay away at all cost
Negative,0,disappointingwith so mani complimentari review i wa expect so much more the servic so prais in other review wa robot and slow veri slow our reserv wa for 21 00 our tabl wasn t readi so we were invit to have a glass of prosecco in the bar thi wa fine but we wait half an hour for the tabl onc we got to the tabl we wait 20 minut or so to have our order taken although to be fair we were offer anoth glass of prosecco we eventu got our amus bouch at around 22 00 at least an hour after we arriv we order the truffl set menu the food rang between be averag and quit good never realli good at odd with other review a few word of warn the truffl menu is a poor choic truffl is delici but a whole meal with the same flavour doesn t work second unless you are veri hungri avoid the menu the volum of food is enorm we left quit a lot of the anti pasti and especi the pasta cours we eventu left around midnight they clearli book more cover than they can effici deal with my summari is quantiti rather than qualiti and slow robot emotionless servic probabl caus by over book
Negative,0,what a disast i have to say that i wa disappoint in my visit to ad hoc while the locat and decor were great i found the servic to be terribl in fact the servic made the food a disappoint a well it start with the 40 minut wait in between sit down and a staff member our order for food or drink our waitress seem disappoint we didn t want to do the tast menu but we were alreadi disappoint with the way the meal had start it took anoth 30 minut for our first glass of wine and burrata appet to arriv at the tabl the burrata with the upgrad of white truffl thi dish wa around 50 and when it arriv a small fli land on it no big deal it happen when the waitress and i tri to get it off it wa kill on the chees she ask if we want a new one um of cours i said now after wait 30 minut for the dish to arriv at our tabl a new one wa brought out in le than 5 minut i m not sure that the 2nd burrata wa new and that they threw away the origin dish given how expens white truffl are but it should have been the 3 way carbonara came out practic cold too no one ever came to see if we want anoth drink until the end of our meal when we order wine glass were just brought over a glass no wine wa ever present to the tabl a with other restaur in thi price rang some staff apolog at one point say the servic issu were becaus they were busi i m not sure how that wa my problem they hold themselv out a a fine dine experi and at least mine wa far far from that i would tell you to ignor the inflat review and look for someth better
Negative,0,great wine but averag foodw both ate the truffl tast menu with wine the appet where good but the first and second cours where noth special at all a decent meal with some truffl for a big price tag the dessert where fine and the wine wa realli good but for thi price everyth should be great
Negative,0,utterli inept in everi wayand pretenti to go along with it what can you say about a restaur that provid separ wine list for red and white that look like copi of war and peac except that there are two wine per page and they aren t list by countri of origin or variet type they re list by what someon god know who think is the type who would have guess a chianti classico is a full bodi red certainli no one who know wine in ani normal restaur thi wine list would run mayb 6 or 7 page at the most appar wine by the glass are a state secret you have to ask if they have them rubberi overcook octopu brittl fri pumpkin flower devoid of tast top with cold ricotta a filet that could onli be describ a a low end usda choic from a chain steakhous in the u also rubberi and tasteless at least the fish wa cook properli but wa lie on a hockey puck of warm wilt spinach appallingli bad servic one hour to get the appet they seem to be total confus about everyth and 160 euro for the experi there is a tradit italian restaur about two door up that wa pack ad hoc wasn t i can see whi
Negative,0,emperor new clothesnic atmospher and the staff were attent but after that not a lot more to say i hope you have heard the stori of the emperor new cloth everyon say how great everyth is but in truth the food is veri mediocr perhap we went on a wrong night who know the food wa bland and the wine wa veri averag the wine serv wa just a normal run of the mill noth special have tast a lot better for a lot le
Negative,0,too touristican ambiti restaur in rome s downtown without a real soul menù is a mix of meat and fish but without a real special our impress is that the place is too tourist not a real gourmet high qualiti experi servic appropri
Negative,0,forget truffl carbonaratruffl menu is nice to tri but carbonara wa over cook and a bit messi to eat meat with truffl could be softer desert not the best option servic wa ok and also the wine menu
Negative,0,one of the worst meal of my lifeservic is fine decor fine but the food is extrem bad almost ined extrem disappoint the wine list good but that s it
Negative,0,2 hour of disappointmentcam here base off of tripadvisor review and i m debat delet the app a it s clear the peopl who rate thi place highli are delusion i ll start by say that the hospit and staff wa amongst the best i receiv dure my 10 stop italian tour the free glass of wine the free pre desert and the free bottl of hous oliv oil wa appreci and the staff were excel in everi way especi the bald waiter with the blue eye who wa amaz at hi job but the food wa total crap we each got the black truffl tast menu it wa our last night so we decid to splash out a bit and the tabl behind u an american famili also got the black truffl tast menu the starter were ok 2 of them were the same but one had basil and the beef tartar wa bland the truffl carbonara wa veri nice but the spaghetti dish wa averag the ox cheek wa tough with a sirloin type fat down one side at thi time the tabl behind u got a steak and we notic them complain that it wa tough so it wasn t just u for thi reason i believ the meat to be poorli sourc the duck howev wa decent the desert were all crap we actual didn t finish them meanwhil the american on the tabl behind u were blown away by the same dish we dislik which lead me to believ that the review of thi place are mostli by american visit europ i never know which review to trust so if you re read thi take the opinion of someon who ha eaten at michelin star restaur around the world and ha a knack for find hidden gem thi place in a nut shell the food is below averag with truffl on top the servic and hospit is excel but you can t eat good servic present wa also excel howev id say avoid thi place
Negative,0,just so so and blandhad the truffl tast and it tast flat definit expens even for the type of upscal restaur that it tri to be it s expens for the qualiti of the food
